base_year,series,year,indicator,frequency,revision,industry,subindustry,institutional_sector,quarter,current_price,constant_price,unit
2011-12,Current,2023-24,Gross Value Added,Annual,First Revised Estimates,Manufacturing,"Textiles, Apparel and Leather Products",General Government,Q2,417845.6112,307719.772,₹ Crore
2011-12,Current,2023-24,Gross Value Added,Annual,First Revised Estimates,Manufacturing,Metal Products,General Government,Q2,585857.4527,420272.3874,₹ Crore
2011-12,Current,2023-24,Gross Value Added,Annual,First Revised Estimates,Manufacturing,Machinery and Equipment,General Government,Q2,974722.5669,754849.1361,₹ Crore
2011-12,Current,2023-24,Gross Value Added,Annual,First Revised Estimates,Manufacturing,Other Manufactured Goods,General Government,Q2,1562945.721,1099426.932,₹ Crore
2011-12,Current,2023-24,Gross Value Added,Annual,First Revised Estimates,Manufacturing,Air Transport,General Government,Q2,3921595.873,2825935.31,₹ Crore
2011-12,Current,2023-24,Gross Value Added,Annual,First Revised Estimates,"Electricity, Gas, Water Supply & Other Utility Services",Air Transport,General Government,Q2,766435.4241,382775.9055,₹ Crore
2011-12,Current,2023-24,Gross Value Added,Annual,First Revised Estimates,Construction,Air Transport,General Government,Q2,2401618.316,1437788.104,₹ Crore
2011-12,Current,2023-24,Gross Value Added,Annual,First Revised Estimates,"Trade, Repair, Hotels and Restaurants",Trade & Repair Services,General Government,Q2,2812001.142,1797187.705,₹ Crore
2011-12,Current,2023-24,Gross Value Added,Annual,First Revised Estimates,"Trade, Repair, Hotels and Restaurants",Hotels & Restaurants,General Government,Q2,316533.6895,202370.9304,₹ Crore
2011-12,Current,2023-24,Gross Value Added,Annual,First Revised Estimates,"Trade, Repair, Hotels and Restaurants",Air Transport,General Government,Q2,3128534.832,1999558.635,₹ Crore
2011-12,Current,2023-24,Gross Value Added,Annual,First Revised Estimates,"Transport, Storage, Communication & Services Related to Broadcasting",Railways,General Government,Q2,178709.165,101345.1472,₹ Crore
2011-12,Current,2023-24,Gross Value Added,Annual,First Revised Estimates,"Transport, Storage, Communication & Services Related to Broadcasting",Road Transport,General Government,Q2,773645.6263,462922.2801,₹ Crore
2011-12,Current,2023-24,Gross Value Added,Annual,First Revised Estimates,"Transport, Storage, Communication & Services Related to Broadcasting",Water Transport,General Government,Q2,22496.12426,15166.13363,₹ Crore
2011-12,Current,2023-24,Gross Value Added,Annual,First Revised Estimates,"Transport, Storage, Communication & Services Related to Broadcasting",Air Transport,General Government,Q2,33101.60635,9975.072528,₹ Crore
2011-12,Current,2023-24,Gross Value Added,Annual,First Revised Estimates,"Transport, Storage, Communication & Services Related to Broadcasting",Services Incidental to Transport,General Government,Q2,183436.7433,100118.8198,₹ Crore
2011-12,Current,2023-24,Gross Value Added,Annual,First Revised Estimates,"Transport, Storage, Communication & Services Related to Broadcasting",Storage,General Government,Q2,28210.46705,20112.33347,₹ Crore
2011-12,Current,2023-24,Gross Value Added,Annual,First Revised Estimates,"Transport, Storage, Communication & Services Related to Broadcasting",Communication & Services Related to Broadcasting,General Government,Q2,480370.5681,285337.5637,₹ Crore
2011-12,Current,2023-24,Gross Value Added,Annual,First Revised Estimates,"Transport, Storage, Communication & Services Related to Broadcasting",Air Transport,General Government,Q2,1699970.3,994977.3505,₹ Crore
2011-12,Current,2023-24,Gross Value Added,Annual,First Revised Estimates,Financial Services,Air Transport,General Government,Q2,1598185.162,972874.2439,₹ Crore
2011-12,Current,2023-24,Gross Value Added,Annual,First Revised Estimates,"Real Estate, Ownership of Dwelling & Professional Services",Air Transport,General Government,Q2,4645967.98,2841712.23,₹ Crore
2011-12,Current,2023-24,Gross Value Added,Annual,First Revised Estimates,Public Administration and Defence,Air Transport,General Government,Q2,1599733.828,849380.7529,₹ Crore
2011-12,Current,2023-24,Gross Value Added,Annual,First Revised Estimates,Other Services,Air Transport,General Government,Q2,2240636.256,1149180.057,₹ Crore
2011-12,Current,2023-24,Gross Value Added,Annual,First Revised Estimates,Total Gross Value Added,Air Transport,General Government,Q2,27412888.05,16151476.51,₹ Crore
2022-23,Current,2023-24,Gross Value Added,Annual,Final Estimates,"Transport, Storage, Communication & Services Related to Broadcasting",Air Transport,Public Non-Financial Corporations,Q2,1530261.875,1253671.7912885246,₹ Crore
2022-23,Current,2023-24,Gross Value Added,Annual,Final Estimates,"Transport, Storage, Communication & Services Related to Broadcasting",Air Transport,Private Non-Financial Corporations,Q2,8593551.209,1253671.7912885246,₹ Crore
2022-23,Current,2023-24,Gross Value Added,Annual,Final Estimates,"Transport, Storage, Communication & Services Related to Broadcasting",Air Transport,Public Financial Corporations,Q2,714051.7165,1253671.7912885246,₹ Crore
2022-23,Current,2023-24,Gross Value Added,Annual,Final Estimates,"Transport, Storage, Communication & Services Related to Broadcasting",Air Transport,Private Financial Corporations,Q2,944003.2668,1253671.7912885246,₹ Crore
